id,department_id,slug,name
20371,84,tramont-lassus,Tramont-lassus
17024,75,sainte-genevieve-des-bois-45,Sainte-genevieve-des-bois
32989,110,hamelet,Hamelet
5734,46,saint-adjutory,Saint-adjutory
15683,70,benesse-les-dax,Benesse-les-dax
7539,51,marigny-les-reullee,Marigny-les-reullee
32234,109,oiron,Oiron
18575,80,baudre,Baudre
993,32,sorbais,Sorbais
6540,48,charost,Charost
14850,68,pontcharra,Pontcharra
5322,45,lacapelle-del-fraisse,Lacapelle-del-fraisse
4050,41,salvezines,Salvezines
36461,5974,santa-maria-di-lota,Santa-maria-di-lota
7075,51,chenove,Chenove
19182,81,dampierre-au-temple,Dampierre-au-temple
7693,52,languenan,Languenan
1450,33,chareil-cintrat,Chareil-cintrat
18542,80,chanteloup-50,Chanteloup
6795,49,saint-chamant-19,Saint-chamant
36175,125,plessis-bouchard,Le plessis-bouchard
24042,91,dompierre-61,Dompierre
4442,43,eyragues,Eyragues
20210,83,villiers-charlemagne,Villiers-charlemagne
10658,58,bazoche-gouet,La bazoche-gouet
15899,71,chailles,Chailles
24265,91,pas-saint-l-homer,Le pas-saint-l'homer
15656,70,montegut-40,Montegut
8311,54,grand-brassac,Grand-brassac
2419,37,charmes-sur-rhone,Charmes-sur-rhone
33820,114,mazan,Mazan
34545,117,thouron,Thouron
7607,51,arcey-21,Arcey
11631,61,cintegabelle,Cintegabelle
9649,56,bourg-les-valence,Bourg-les-valence
9013,55,roulans,Roulans
30167,104,seynod,Seynod
22267,87,haboudange,Haboudange
2962,39,galey,Galey
33897,115,poire-sur-vie,Le poire-sur-vie
29406,101,vire-71,Vire
4060,41,villemagne,Villemagne
6828,49,pandrignes,Pandrignes
33016,110,quiry-le-sec,Quiry-le-sec
15910,71,saint-avit-41,Saint-avit
29325,101,chauffailles,Chauffailles
29897,103,avrieux,Avrieux
7326,51,labergement-les-seurre,Labergement-les-seurre
11741,61,montesquieu-guittaut,Montesquieu-guittaut
34334,116,beuxes,Beuxes
21244,85,morgemoulin,Morgemoulin
30863,106,bosc-le-hard,Bosc-le-hard
23942,90,serans-60,Serans
8872,55,urtiere,Urtiere
23647,90,mortefontaine-en-thelle,Mortefontaine-en-thelle
19853,82,poulangy,Poulangy
14744,68,bonnefamille,Bonnefamille
32299,110,clairy-saulchoix,Clairy-saulchoix
6213,47,saint-agnant,Saint-agnant
1501,33,vilhain,Le vilhain
10672,58,chapelle-du-noyer,La chapelle-du-noyer
34367,116,massognes,Massognes
32973,110,guyencourt-saulcourt,Guyencourt-saulcourt
12685,63,civrac-de-blaye,Civrac-de-blaye
19333,81,saint-jean-sur-moivre,Saint-jean-sur-moivre
1378,33,molles,Molles
16116,72,bussieres-42,Bussieres
19178,81,thillois,Thillois
32996,110,bouttencourt,Bouttencourt
26019,94,lalonquette,Lalonquette
25221,92,magnicourt-sur-canche,Magnicourt-sur-canche
21117,85,jonville-en-woevre,Jonville-en-woevre
22976,89,fontaine-au-bois,Fontaine-au-bois
34533,117,bersac-sur-rivalier,Bersac-sur-rivalier
25936,94,carrere,Carrere
34266,116,jousse,Jousse
34512,117,beaumont-du-lac,Beaumont-du-lac
10949,59,lanhouarneau,Lanhouarneau
10304,57,epreville-en-roumois,Epreville-en-roumois
31787,108,bennecourt,Bennecourt
26442,94,gamarthe,Gamarthe
33896,115,auzay,Auzay
27923,98,metzeral,Metzeral
26299,94,saint-jean-le-vieux-64,Saint-jean-le-vieux
6421,48,chapelle-saint-ursin,La chapelle-saint-ursin
18718,80,barfleur,Barfleur
4699,44,bauquay,Bauquay
9601,56,reauville,Reauville
29792,102,guierche,La guierche
15503,70,cazalis-40,Cazalis
22450,88,mars-sur-allier,Mars-sur-allier
32932,110,varennes-80,Varennes
20131,83,fontaine-couverte,Fontaine-couverte
9580,56,charols,Charols
21748,87,saint-privat-la-montagne,Saint-privat-la-montagne
23173,89,wasquehal,Wasquehal
26637,95,antin,Antin
4503,43,ensues-la-redonne,Ensues-la-redonne
1869,35,lazer,Lazer
30819,106,saint-pierre-benouville,Saint-pierre-benouville
3379,40,villemoiron-en-othe,Villemoiron-en-othe
1680,34,revest-saint-martin,Revest-saint-martin
22327,87,abreschviller,Abreschviller
28310,99,moire,Moire
6370,48,ardenais,Ardenais
32521,110,etelfay,Etelfay
18855,80,carantilly,Carantilly
10452,57,poses,Poses
24540,92,boiry-sainte-rictrude,Boiry-sainte-rictrude
20801,84,jeandelize,Jeandelize
5843,46,vindelle,Vindelle
34007,115,epine-85,L'epine
25774,93,buxieres-sous-montaigut,Buxieres-sous-montaigut
1333,33,saint-christophe-03,Saint-christophe
23743,90,auger-saint-vincent,Auger-saint-vincent
34744,118,autigny-la-tour,Autigny-la-tour
12161,62,sainte-marie-32,Sainte-marie
9315,55,dannemarie-sur-crete,Dannemarie-sur-crete
16154,72,saint-christo-en-jarez,Saint-christo-en-jarez
23634,90,sacy-le-grand,Sacy-le-grand
36478,5974,rutali,Rutali
17817,77,villeneuve-de-duras,Villeneuve-de-duras
27655,97,auenheim,Auenheim
11313,60,capelle-et-masmolene,La capelle-et-masmolene
12410,62,lasseube-propre,Lasseube-propre
30256,104,riviere-enverse,La riviere-enverse
9765,56,mollans-sur-ouveze,Mollans-sur-ouveze
10646,58,villars-28,Villars
3659,40,saint-phal,Saint-phal
36359,5974,perelli,Perelli
35336,119,dye,Dye
36227,5973,vero,Vero
15050,69,courlaoux,Courlaoux
16787,74,sainte-anne-sur-brivet,Sainte-anne-sur-brivet
979,32,monceau-le-waast,Monceau-le-waast
5930,47,etaules-17,Etaules
2115,37,saint-pierre-saint-jean,Saint-pierre-saint-jean
19117,81,saint-imoges,Saint-imoges
17919,78,molezon,Molezon
5931,47,authon-ebeon,Authon-ebeon
27008,96,ansignan,Ansignan
8422,54,montpeyroux-24,Montpeyroux
33781,114,saint-marcellin-les-vaison,Saint-marcellin-les-vaison
15887,71,souesmes,Souesmes
31136,106,daubeuf-serville,Daubeuf-serville
26619,95,momeres,Momeres
9419,55,pugey,Pugey
9399,55,goux-les-usiers,Goux-les-usiers
20232,83,saint-denis-du-maine,Saint-denis-du-maine
26847,95,trebons,Trebons
27724,98,schlierbach,Schlierbach
14996,69,longwy-sur-le-doubs,Longwy-sur-le-doubs
20505,84,vilcey-sur-trey,Vilcey-sur-trey
35510,119,saint-valerien-89,Saint-valerien
28817,100,gouhenans,Gouhenans
2421,37,labegude,Labegude
4604,44,boissey-14,Boissey
35275,119,saint-aubin-chateau-neuf,Saint-aubin-chateau-neuf
31943,108,grosrouvre,Grosrouvre
32488,110,faverolles-80,Faverolles
10883,59,plounevezel,Plounevezel
27171,97,nordhouse,Nordhouse
8192,53,nouzerolles,Nouzerolles
12513,62,ladeveze-riviere,Ladeveze-riviere
8075,53,saint-domet,Saint-domet
10950,59,port-launay,Port-launay
13527,65,cogles,Cogles
16680,74,puceul,Puceul
18191,79,fougere-49,Fougere
715,32,breny,Breny
4822,44,maltot,Maltot
11935,61,lavalette-31,Lavalette
32668,110,rosieres-en-santerre,Rosieres-en-santerre
11861,61,peyrissas,Peyrissas
21919,87,blanche-eglise,Blanche-eglise
29667,102,chapelle-gaugain,La chapelle-gaugain
27761,98,sundhoffen,Sundhoffen
2797,38,aiglemont,Aiglemont
32868,110,mesnil-en-arrouaise,Mesnil-en-arrouaise
8346,54,atur,Atur
25288,92,audinghen,Audinghen
197,31,baneins,Baneins
5046,44,colombieres,Colombieres
1726,34,roumoules,Roumoules
30512,106,gonnetot,Gonnetot
8666,54,mialet-24,Mialet
3360,40,premierfait,Premierfait
1589,34,castellet-04,Le castellet
11661,61,rieux-volvestre,Rieux-volvestre
22417,88,saint-benin-des-bois,Saint-benin-des-bois
11165,60,jonquieres-saint-vincent,Jonquieres-saint-vincent
11262,60,molieres-sur-ceze,Molieres-sur-ceze
10871,58,trizay-coutretot-saint-serge,Trizay-coutretot-saint-serge
17641,77,roquefort-47,Roquefort
20038,83,bazougers,Bazougers
27978,98,liepvre,Liepvre
32803,110,maison-ponthieu,Maison-ponthieu
30656,106,rue-saint-pierre-76,La rue-saint-pierre
25368,92,simencourt,Simencourt
25057,92,alquines,Alquines
16195,72,estivareilles-42,Estivareilles
13681,65,vezin-le-coquet,Vezin-le-coquet
19814,82,mussey-sur-marne,Mussey-sur-marne
27351,97,littenheim,Littenheim
29548,102,parce-sur-sarthe,Parce-sur-sarthe
25945,94,vialer,Vialer
13847,66,douadic,Douadic
32199,109,pamproux,Pamproux
6686,49,saint-pardoux-l-ortigier,Saint-pardoux-l'ortigier
25996,94,agnos,Agnos
25736,93,brugeron,Le brugeron
29565,102,beaufay,Beaufay
25546,93,saint-georges-sur-allier,Saint-georges-sur-allier
28790,100,genevreuille,Genevreuille
33607,113,vins-sur-caramy,Vins-sur-caramy
36342,5974,aiti,Aiti
16863,75,bucy-saint-liphard,Bucy-saint-liphard
25865,93,chateldon,Chateldon
4958,44,cuverville-14,Cuverville
15655,70,perquie,Perquie
15322,69,loisia,Loisia
26921,95,bazus-neste,Bazus-neste
24833,92,wingles,Wingles
34211,116,moussac-86,Moussac
23285,89,verlinghem,Verlinghem
106,31,boz,Boz
33441,112,moissac,Moissac
14211,67,saint-epain,Saint-epain
34455,117,saint-priest-taurion,Saint-priest-taurion
23810,90,libermont,Libermont
7474,51,minot,Minot
29638,102,chartre-sur-le-loir,La chartre-sur-le-loir
919,32,gricourt,Gricourt
20500,84,bauzemont,Bauzemont
11730,61,sabonneres,Sabonneres
9863,57,venables,Venables
